date,ticker,weight_change,price,tc_cost
2024-01-12,AMZN,-0.0084,154.6199951171875,1e-06
2024-01-12,NVDA,-0.0088,54.676578521728516,1e-06
2024-01-12,TSLA,-0.0087,218.88999938964844,1e-06
2024-01-12,BRK-B,-0.0088,363.6199951171875,1e-06
2024-01-12,UNH,-0.0087,497.26361083984375,1e-06
2024-01-12,MA,-0.0088,423.49853515625,1e-06
2024-01-12,MRK,-0.0087,110.47578430175781,1e-06
2024-01-12,PFE,-0.0087,24.806236267089844,1e-06
2024-01-19,AMZN,0.0013,155.33999633789062,0.0
2024-01-19,NVDA,0.0014,59.45466232299805,0.0
2024-01-19,TSLA,0.0014,212.19000244140625,0.0
2024-01-19,BRK-B,0.0014,366.989990234375,0.0
2024-01-19,UNH,0.0014,480.148193359375,0.0
2024-01-19,MA,0.0014,431.0782470703125,0.0
2024-01-19,MRK,0.0014,110.71791076660156,0.0
2024-01-19,PFE,0.0014,24.443220138549805,0.0
2024-01-26,AMZN,0.0109,159.1199951171875,1e-06
2024-01-26,NVDA,0.0114,60.993717193603516,1e-06
2024-01-26,TSLA,0.0113,183.25,1e-06
2024-01-26,BRK-B,0.0114,385.3999938964844,1e-06
2024-01-26,UNH,0.0113,479.80499267578125,1e-06
2024-01-26,MA,0.0114,432.805419921875,1e-06
2024-01-26,MRK,0.0113,112.51525115966797,1e-06
2024-01-26,PFE,0.0113,24.10041046142578,1e-06
2024-02-02,AMZN,-0.0199,171.80999755859375,4e-06
2024-02-02,NVDA,-0.0209,66.11959838867188,5e-06
2024-02-02,TSLA,-0.0206,187.91000366210938,4e-06
2024-02-02,BRK-B,-0.0209,390.75,5e-06
2024-02-02,UNH,-0.0206,486.5081481933594,4e-06
2024-02-02,MA,-0.0209,454.56756591796875,5e-06
2024-02-02,MRK,-0.0206,117.72100830078125,4e-06
2024-02-02,PFE,-0.0206,23.62664794921875,4e-06
2024-02-09,AMZN,-0.0006,174.4499969482422,0.0
2024-02-09,NVDA,-0.0007,72.08895111083984,0.0
2024-02-09,TSLA,-0.0006,193.57000732421875,0.0
2024-02-09,BRK-B,-0.0007,398.3599853515625,0.0
2024-02-09,UNH,-0.0006,494.1265563964844,0.0
2024-02-09,MA,-0.0007,451.90277099609375,0.0
2024-02-09,MRK,-0.0006,116.82698822021484,0.0
2024-02-09,PFE,-0.0006,24.179367065429688,0.0
2024-02-16,AMZN,-0.0029,169.50999450683594,0.0
2024-02-16,NVDA,-0.0031,72.56863403320312,0.0
2024-02-16,TSLA,-0.003,199.9499969482422,0.0
2024-02-16,BRK-B,-0.0031,405.989990234375,0.0
2024-02-16,UNH,-0.003,497.30181884765625,0.0
2024-02-16,MA,-0.0031,462.01898193359375,0.0
2024-02-16,MRK,-0.003,119.00616455078125,0.0
2024-02-16,PFE,-0.003,24.23200798034668,0.0
2024-02-23,AMZN,-0.0219,174.99000549316406,5e-06
2024-02-23,NVDA,-0.023,78.76885986328125,6e-06
2024-02-23,TSLA,-0.0227,191.97000122070312,5e-06
2024-02-23,BRK-B,-0.023,417.2200012207031,6e-06
2024-02-23,UNH,-0.0227,502.72723388671875,5e-06
2024-02-23,MA,-0.023,467.23992919921875,6e-06
2024-02-23,MRK,-0.0227,120.55205535888672,5e-06
2024-02-23,PFE,-0.0227,24.354835510253906,5e-06
2024-03-01,AMZN,0.0065,178.22000122070312,0.0
2024-03-01,NVDA,0.0068,82.2287368774414,0.0
2024-03-01,TSLA,0.0068,202.63999938964844,0.0
2024-03-01,BRK-B,0.0068,407.1099853515625,0.0
2024-03-01,UNH,0.0068,466.7705078125,0.0
2024-03-01,MA,0.0068,470.40802001953125,0.0
2024-03-01,MRK,0.0068,118.23320007324219,0.0
2024-03-01,PFE,0.0068,23.328353881835938,0.0
2024-03-08,AMZN,-0.0018,175.35000610351562,0.0
2024-03-08,NVDA,-0.0019,87.47863006591797,0.0
2024-03-08,TSLA,-0.0018,175.33999633789062,0.0
2024-03-08,BRK-B,-0.0019,403.1499938964844,0.0
2024-03-08,UNH,-0.0018,456.2043762207031,0.0
2024-03-08,MA,-0.0019,463.13421630859375,0.0
2024-03-08,MRK,-0.0018,115.01103973388672,0.0
2024-03-08,PFE,-0.0018,23.881074905395508,0.0
2024-03-15,AMZN,0.0012,174.4199981689453,0.0
2024-03-15,NVDA,0.0012,87.78746032714844,0.0
2024-03-15,TSLA,0.0012,163.57000732421875,0.0
2024-03-15,BRK-B,0.0012,408.1300048828125,0.0
2024-03-15,UNH,0.0012,469.84539794921875,0.0
2024-03-15,MA,0.0012,469.6184997558594,0.0
2024-03-15,MRK,0.0012,113.88497161865234,0.0
2024-03-15,PFE,0.0012,24.512758255004883,0.0
2024-03-22,AMZN,0.0343,178.8699951171875,1.3e-05
2024-03-22,NVDA,0.0359,94.23580932617188,1.3e-05
2024-03-22,TSLA,0.0355,170.8300018310547,1.3e-05
2024-03-22,BRK-B,0.0359,411.6000061035156,1.3e-05
2024-03-22,UNH,0.0355,469.1274719238281,1.3e-05
2024-03-22,MA,0.0359,475.38226318359375,1.3e-05
2024-03-22,MRK,0.0355,116.06858825683594,1.3e-05
2024-03-22,PFE,0.0355,24.003902435302734,1.3e-05
2024-04-05,AMZN,-0.0042,185.07000732421875,0.0
2024-04-05,NVDA,-0.0044,87.95836639404297,0.0
2024-04-05,TSLA,-0.0043,164.89999389648438,0.0
2024-04-05,BRK-B,-0.0044,418.6199951171875,0.0
2024-04-05,UNH,-0.0043,436.2645263671875,0.0
2024-04-05,MA,-0.0044,470.9212341308594,0.0
2024-04-05,MRK,-0.0043,119.9484634399414,0.0
2024-04-05,PFE,-0.0043,23.389768600463867,0.0
2024-04-12,AMZN,0.0007,186.1300048828125,0.0
2024-04-12,NVDA,0.0008,88.13626098632812,0.0
2024-04-12,TSLA,0.0008,171.0500030517578,0.0
2024-04-12,BRK-B,0.0008,403.260009765625,0.0
2024-04-12,UNH,0.0008,420.4313659667969,0.0
2024-04-12,MA,0.0008,459.94110107421875,0.0
2024-04-12,MRK,0.0008,117.83983612060547,0.0
2024-04-12,PFE,0.0008,22.687898635864258,0.0
2024-04-19,AMZN,0.0061,174.6300048828125,0.0
2024-04-19,NVDA,0.0064,76.15701293945312,0.0
2024-04-19,TSLA,0.0064,147.0500030517578,0.0
2024-04-19,BRK-B,0.0064,405.0799865722656,0.0
2024-04-19,UNH,0.0064,479.7148132324219,0.0
2024-04-19,MA,0.0064,450.06787109375,0.0
2024-04-19,MRK,0.0064,117.8773193359375,0.0
2024-04-19,PFE,0.0064,22.810728073120117,0.0
2024-04-26,AMZN,-0.0169,179.6199951171875,3e-06
2024-04-26,NVDA,-0.0177,87.68551635742188,3e-06
2024-04-26,TSLA,-0.0175,168.2899932861328,3e-06
2024-04-26,BRK-B,-0.0177,402.1000061035156,3e-06
2024-04-26,UNH,-0.0175,474.18182373046875,3e-06
2024-04-26,MA,-0.0177,457.01568603515625,3e-06
2024-04-26,MRK,-0.0175,122.956787109375,3e-06
